alpha,cl,cd
-9.594285714285714,-0.6488545314900153,0.023882949308755758
-9.574285714285713,-0.6476679723502302,0.023744239631336393
-9.462857142857144,-0.6410571428571429,0.02297142857142858
-9.428571428571429,-0.6390230414746543,0.022733640552995392
-9.327142857142857,-0.6330054915514591,0.022030184331797226
-9.290000000000001,-0.6308018817204301,0.021772580645161292
-9.258571428571427,-0.6289372887864821,0.02155460829493086
-9.197142857142858,-0.6252928571428571,0.021128571428571427
-9.142857142857142,-0.6220721966205837,0.020752073732718885
-9.059999999999999,-0.6171564516129031,0.020177419354838695
-8.985000000000001,-0.6127068548387097,0.01965725806451613
-8.942857142857141,-0.6102066052227341,0.019364976958525328
-8.931428571428572,-0.6095285714285714,0.019285714285714285
-8.857142857142858,-0.605121351766513,0.018770506912442392
-8.792857142857143,-0.6013074116743471,0.018324654377880178
-8.680000000000001,-0.5946118279569893,0.017541935483870973
-8.627142857142855,-0.591475921658986,0.017175345622119798
-8.571428571428571,-0.5881705069124423,0.01678894009216589
-8.525714285714287,-0.5854583717357911,0.01647188940092166
-8.4,-0.578,0.0156
-8.311428571428571,-0.5702499999999999,0.015498511904761904
-8.258571428571429,-0.5656249999999999,0.015437946428571428
-8.07,-0.549125,0.015221875
-8.0,-0.5429999999999999,0.015141666666666666
-7.991428571428571,-0.5422499999999999,0.015131845238095238
-7.724285714285715,-0.518875,0.014825744047619048
-7.68,-0.5149999999999999,0.014774999999999998
-7.190000000000001,-0.472125,0.014213541666666668
-7.0,-0.4554999999999999,0.013995833333333332
-6.53,-0.41437499999999994,0.013457291666666666
-6.48,-0.41,0.0134
-6.000000000000001,-0.3643333333333334,0.013133333333333334
-5.9,-0.35481944444444447,0.013077777777777778
-5.16,-0.2844166666666667,0.012666666666666666
-5.04,-0.273,0.0126
-5.0,-0.26891946308724834,0.012605369127516778
-4.42,-0.209751677852349,0.012683221476510067
-4.28,-0.19546979865771819,0.012702013422818792
-4.0,-0.1669060402684564,0.012739597315436241
-3.55,-0.121,0.0128
-3.49,-0.11460000000000004,0.01282
-3.1200000000000006,-0.07513333333333341,0.012943333333333333
-3.0000000000000004,-0.06233333333333339,0.012983333333333333
-2.75,-0.03566666666666668,0.013066666666666667
-2.05,0.039,0.0133
-2.0,0.04428124999999998,0.013318749999999999
-1.97,0.047449999999999985,0.01333
-1.57,0.08969999999999997,0.013479999999999999
-1.39,0.10871249999999999,0.013547499999999999
-1.0,0.14990625,0.01369375
-0.52,0.20060624999999999,0.013873749999999999
-0.45,0.208,0.0139
0.0,0.2589016393442623,0.014047540983606556
0.07,0.26681967213114755,0.014070491803278688
0.09,0.2690819672131147,0.014077049180327868
1.0,0.37201639344262294,0.014375409836065575
1.1500000000000001,0.38898360655737707,0.014424590163934426
1.38,0.415,0.0145
1.53,0.43120437956204377,0.014532846715328469
1.6,0.43876642335766425,0.014548175182481752
2.0,0.481978102189781,0.014635766423357665
2.58,0.5446350364963504,0.014762773722627739
2.75,0.563,0.0148
3.0000000000000004,0.5882659574468085,0.014693617021276596
3.02,0.5902872340425531,0.014685106382978723
3.19,0.607468085106383,0.014612765957446809
4.0,0.6893297872340425,0.014268085106382979
4.22,0.711563829787234,0.014174468085106383
4.57,0.7469361702127659,0.014025531914893617
4.63,0.753,0.014
4.64,0.7538409090909091,0.013996969696969697
5.0,0.7841136363636364,0.013887878787878788
5.87,0.8572727272727273,0.013624242424242424
5.95,0.864,0.0136
6.000000000000001,0.8668750000000001,0.0136625
6.110000000000001,0.8732000000000001,0.0138
6.38,0.888725,0.014137499999999999
7.0,0.924375,0.014912499999999999
7.55,0.956,0.0156
7.75,0.9665970149253731,0.01633134328358209
7.88,0.9734850746268656,0.01680671641791045
7.889999999999999,0.9740149253731342,0.016843283582089547
8.0,0.9798432835820895,0.0172455223880597
8.89,1.027,0.0205
9.0,1.0315466666666666,0.021145333333333332
9.08,1.0348533333333332,0.021614666666666664
9.420000000000002,1.0489066666666667,0.02360933333333334
9.44,1.0497333333333332,0.02372666666666666
10.0,1.0728799999999998,0.027011999999999998
10.39,1.089,0.0293
10.64,1.096514450867052,0.0310485549132948
10.8,1.1013236994219653,0.03216763005780347
10.93,1.1052312138728324,0.033076878612716756
11.0,1.107335260115607,0.0335664739884393
12.000000000000002,1.1373930635838152,0.04056069364161852
12.1,1.1403988439306358,0.04126011560693642
12.12,1.141,0.0414
12.34,1.1346692151418794,0.044283078719392924
16.577857142857145,1.0127193886378858,0.09981978664847795
17.571428571428573,0.9841280842948799,0.11284044411171024
17.66428571428571,0.9814559997768421,0.11405732798677862
17.68285714285714,0.9809215828732344,0.11430070476179234
17.88714285714286,0.9792483114779987,0.11783040610465023
22.225714285714286,0.9437117714267368,0.1927933639945752
23.142857142857142,0.9361996019460288,0.20863999519817478
23.228571428571428,0.9354975300319439,0.21012098876860463
23.24571428571429,0.9353571156491269,0.21041718748269067
23.434285714285718,0.9350029010577497,0.21434070057408522
27.87357142857143,0.9266640992190783,0.30670673793399855
28.71428571428572,0.9250848924991882,0.3241990671331326
28.79285714285714,0.9249373030861144,0.32583386425454686
28.80857142857143,0.9249077852034997,0.3261608236788298
28.981428571428577,0.9247485319756743,0.3302330171840619
33.52142857142857,0.920565831496095,0.43718699205701417
34.285714285714285,0.9198616953234787,0.4551921451586597
34.357142857142854,0.9197958882045426,0.45687486974759844
34.371428571428574,0.9197827267807553,0.45721141466538634
34.52857142857143,0.9193906895843467,0.4612076822752347
39.169285714285714,0.9078131183794973,0.5792247307351643
39.857142857142854,0.9060970646515814,0.5967174839546368
39.92142857142857,0.9059366857985051,0.5983523207041203
39.934285714285714,0.9059046100278898,0.5986792880540169
40.07571428571429,0.905142775372453,0.6024066472069007
44.81714285714286,0.8796020761664471,0.727367304059636
45.42857142857143,0.8763084879591044,0.7434815436296783
45.48571428571429,0.8760006759771098,0.7449875473278131
45.49714285714286,0.8759391135807109,0.7452887480674402
45.62285714285715,0.8748153276992913,0.7485946742899378
50.465,0.831530415823479,0.8759291848712497
50.99999999999999,0.8267479406803925,0.8899981549885827
51.05,0.8263009803866461,0.8913130120088943
51.06,0.8262115883278968,0.8915759834129569
51.17,0.824812048422999,0.8943545882117231
56.112857142857145,0.7619236319172051,1.019211375273167
56.57142857142857,0.7560891863396446,1.0307949095641276
56.614285714285714,0.755543911052022,1.0318774828623483
56.62285714285715,0.7554348559944974,1.0320939975219925
56.71714285714287,0.753886623493239,1.0342893003176326
61.76071428571429,0.6710679137100165,1.1517213688025818
62.14285714285713,0.6647928804662802,1.160618997557637
62.17857142857143,0.6642064287612579,1.161450551646895
62.18571428571429,0.6640891384202534,1.1616168624647465
62.26428571428572,0.6625350208965322,1.1632230596571622
67.40857142857142,0.560782708116164,1.2683851703824218
