r,r_R,alpha_deg,Cl,Cd,a,a_prime,F,converged
0.94,0.376,4.1236270946424805,0.7179947025812735,0.013375006341327735,0.3026699567404033,0.02241000109555997,0.9982122864145592,True
0.988,0.3952,4.107937540023341,0.7184554563820199,0.012890125513596787,0.30328244106337676,0.020343749894081654,0.9986857650006911,True
1.036,0.4144,4.069930993299266,0.7171056173447949,0.012243675483194657,0.3056432722324066,0.01795888260575518,0.9990412069594495,True
1.084,0.43360000000000004,4.051716353725633,0.7175863609666877,0.011663004892998772,0.3065297730766852,0.016462800693517618,0.9992875555094924,True
1.1320000000000001,0.45280000000000004,4.062769185266949,0.7200164262520005,0.01135002052606313,0.30527545705680054,0.015642846883507793,0.9994502772505016,True
1.1800000000000002,0.4720000000000001,4.038077759943073,0.7175339165323454,0.011321325467250192,0.3071347181863308,0.013873054645578855,0.999570820305261,True
1.2280000000000002,0.4912000000000001,4.035668577143397,0.7173092298530918,0.011314052481548289,0.3071680127302435,0.012832490872075449,0.9996393315229072,True
1.2760000000000002,0.5104000000000001,4.055791176202151,0.719438782346702,0.011310259236313598,0.30537938970253137,0.012232965031975438,0.9996638130719089,True
1.324,0.5296000000000001,4.052162254810675,0.7190817464129656,0.011304023562131268,0.3055359639489668,0.011332455138471807,0.9996591179366887,True
1.372,0.5488000000000001,4.0508203238165015,0.718959960498218,0.011299096380138577,0.3055311009198574,0.010529368112170473,0.999616518117689,True
1.4200000000000002,0.5680000000000001,4.0267174896440325,0.7164474469519928,0.011293997381851599,0.307539010493659,0.009524290461030005,0.9995404420267969,True
1.4680000000000002,0.5872,4.023783389571128,0.7161574035571894,0.011289369084611603,0.3077234010152565,0.008885687152577246,0.9994061538441736,True
1.516,0.6064,4.046371152709652,0.7185279403484932,0.011290023405318334,0.3055613361909494,0.008547201576793704,0.9991885714744089,True
1.564,0.6256,4.043265899617939,0.7182151286826625,0.011286593827896096,0.3057221941608845,0.00800470619132885,0.9988942725635954,True
1.612,0.6448,4.020000552680012,0.7157851056075891,0.011282999811213853,0.3078297623803422,0.007320950027268946,0.9985016870545925,True
1.6600000000000001,0.664,4.0179677246485195,0.7155773129264175,0.011281539177916067,0.30795772876142746,0.006881136429238625,0.9979249087642073,True
1.7080000000000002,0.6832,4.04032576951551,0.7179116237361329,0.01128522393703669,0.30567663445902077,0.006647471964613784,0.9970684700278588,True
1.7560000000000002,0.7024000000000001,4.039480681154409,0.7178173967178781,0.011286614360928504,0.30566240924232524,0.006269095341132836,0.9959274771936945,True
1.804,0.7216,4.014956894936147,0.7152433833284569,0.011285991934299433,0.3081064723507835,0.005782411617193411,0.9944315505504221,True
1.852,0.7408,4.015165991747729,0.7152366314252285,0.011293250524758417,0.30805078857187784,0.005465463872920034,0.9922558310948194,True
1.9000000000000001,0.76,4.014286288236613,0.7151095718561608,0.011301997908162532,0.3081128876879391,0.0051735561659927215,0.9892424676526206,True
1.9480000000000002,0.7792000000000001,4.012818606632865,0.7149075361212297,0.011314066280848812,0.30823998939174774,0.0049036049818561075,0.9850676155544843,True
1.996,0.7984,4.012332044034357,0.7147806418950268,0.011333189643756927,0.3082737380214484,0.004652006968125979,0.9792694021919622,True
2.044,0.8176,4.034805881476407,0.7170178209835433,0.011365183666077312,0.30560925163140495,0.0045231069866689755,0.9708941664723671,True
2.092,0.8368,4.032818327990537,0.7166639010889552,0.011402054064240412,0.30574781284404967,0.004299693204367775,0.9596802880807942,True
2.14,0.8560000000000001,4.033534261055827,0.7165185327994887,0.011458243941814975,0.30557805739251104,0.004088156744027063,0.9440835278262382,True
2.188,0.8752000000000001,4.037030683331947,0.7152360315446055,0.011661721933406631,0.30508512789454956,0.0038780036733792665,0.9223712940488672,True
2.236,0.8944000000000001,4.029739062569537,0.7114254621138115,0.01201825578851264,0.30596375476711424,0.0035863465863223793,0.892554091814139,True
2.2840000000000003,0.9136000000000001,4.0595251429457475,0.7103326895587951,0.012505053803241782,0.30213145474888214,0.003459740470630396,0.8494426427101452,True
2.3320000000000003,0.9328000000000001,4.077399447969429,0.7061838920006656,0.013194626382082134,0.2997346106144971,0.003248519630199897,0.7893752595617137,True
