lambda,pitch_deg,v_inf,rpm,Cp,Ct,power_W,thrust_N,non_converged
4.050847457627119,0.0,8.0,123.78478014577787,0.21159666165623328,0.3332681996730403,1302.9110148553614,256.51326730314037,0
4.203389830508475,0.0,8.0,128.44613169938458,0.2332936409253787,0.35802340176780245,1436.5106333823544,275.56710375770405,0
4.3559322033898304,0.0,8.0,133.10748325299124,0.2550881821616845,0.38323485928232637,1570.7109918295773,294.97211553761434,0
4.508474576271187,0.0,8.0,137.76883480659797,0.2762684149329868,0.4083420434766683,1701.1287326338415,314.2968691648456,0
4.661016949152542,0.0,8.0,142.43018636020463,0.2968485123081805,0.4333199340846794,1827.851126773021,333.5221067857384,0
4.813559322033898,0.0,8.0,147.09153791381132,0.31602608158327317,0.45754601522166816,1945.9374238397681,352.16868402442077,0
4.966101694915254,0.0,8.0,151.75288946741804,0.33455056515100057,0.4815870172166323,2060.002331556086,370.6728076612384,0
5.118644067796611,0.0,8.0,156.41424102102476,0.3512692404611986,0.504536922802897,2162.947935919338,388.3371250848836,0
5.271186440677966,0.0,8.0,161.07559257463146,0.3663995455430606,0.5265124994354909,2256.1131162911674,405.25151106118597,0
5.423728813559323,0.0,8.0,165.73694412823815,0.38011773128830334,0.5479664801419156,2340.583141344524,421.7644297646884,0
5.576271186440678,0.0,8.0,170.39829568184484,0.3921998427641006,0.5677182979567917,2414.97900374287,436.9672103715418,0
5.728813559322035,0.0,8.0,175.05964723545154,0.40222505104491457,0.5857353157155489,2476.7094402868674,450.8347323760164,0
5.88135593220339,0.0,8.0,179.72099878905823,0.41083476967871174,0.6026941143722024,2529.7239687533156,463.8877535080119,0
6.033898305084746,0.0,8.0,184.38235034266495,0.4182287255730537,0.6189049940475756,2575.2524118898336,476.36510872962515,0
6.186440677966102,0.0,8.0,189.0437018962716,0.425288059837411,0.6351802689216728,2618.7204151115475,488.8920283046316,0
6.338983050847458,0.0,8.0,193.70505344987833,0.43111644056075576,0.6507900898940938,2654.6087953146043,500.90675453288,0
6.491525423728814,0.0,8.0,198.36640500348503,0.4367535980037949,0.6660141165689318,2689.3197140385587,512.6245386710129,0
6.6440677966101696,0.0,8.0,203.02775655709172,0.44084583872131927,0.6800088660676558,2714.517774653354,523.396160213448,0
6.796610169491526,0.0,8.0,207.6891081106984,0.4438745526825727,0.6924751531230496,2733.1671462931313,532.9913391919858,0
6.9491525423728815,0.0,8.0,212.3504596643051,0.4456195485118104,0.7032885524683914,2743.9119958053802,541.3143066981821,0
7.101694915254238,0.0,8.0,217.01181121791183,0.4469180700715597,0.7137657446051188,2751.9076703589476,549.3784988106951,0
7.254237288135593,0.0,8.0,221.6731627715185,0.4485995753654414,0.7244208880057065,2762.2615755282804,557.5796582671019,0
7.40677966101695,0.0,8.0,226.33451432512524,0.4485938824905361,0.7336911406025995,2762.226521528079,564.7148808436556,0
7.559322033898305,0.0,8.0,230.9958658787319,0.4496096683270399,0.7437333688845646,2768.4812447583777,572.4442855397474,0
7.711864406779662,0.0,8.0,235.65721743233863,0.4489612494317994,0.7517304270154208,2764.4885914044144,578.5995428129334,0
7.864406779661017,0.0,8.0,240.3185689859453,0.44815463767394154,0.7593234018388748,2759.521862081755,584.4437811243758,0
8.016949152542374,0.0,8.0,244.979920539552,0.4475370154559857,0.7669927635188406,2755.718839933412,590.3468136506942,0
8.16949152542373,0.0,8.0,249.64127209315873,0.4461000079699768,0.7739782421136348,2746.870435297462,595.7234680683217,0
8.322033898305085,0.0,8.0,254.30262364676537,0.444268346480165,0.7806528335353013,2735.59194010816,600.8608356754469,0
8.474576271186441,0.0,8.0,258.9639752003721,0.4430707521071456,0.7877794561241429,2728.2177268870137,606.3461272420998,0
8.627118644067796,0.0,8.0,263.62532675397875,0.44130503077964706,0.7948019565269956,2717.3452596715315,611.751276982581,0
8.779661016949152,0.0,8.0,268.2866783075855,0.438835150637944,0.8011448972034201,2702.136919347025,616.6333762612277,0
8.932203389830509,0.0,8.0,272.9480298611922,0.4360782818779277,0.8072359218354768,2685.1614404060033,621.3215782292691,0
9.084745762711865,0.0,8.0,277.6093814147989,0.4326998896587136,0.8127700230556959,2664.3589173394207,625.5811217049965,0
9.237288135593221,0.0,8.0,282.2707329684056,0.4294133295466488,0.8183295635744521,2644.1218524562782,629.860245559506,0
9.389830508474576,0.0,8.0,286.93208452201225,0.4258136398724962,0.8236487362786986,2621.9566855306575,633.9543606627608,0
9.542372881355933,0.0,8.0,291.59343607561897,0.42166302919766324,0.8285217831990215,2596.399210642883,637.7050971221046,0
