lambda,Cp_beta_0,Ct_beta_0,Cp_beta_3,Ct_beta_3,Cp_beta_6,Ct_beta_6,Cp_beta_10,Ct_beta_10,Cp_beta_15,Ct_beta_15,Cp_beta_20,Ct_beta_20
5.271186440677966,0.3663995455430606,0.5265124994354909,0.3422205028633889,0.46352497111128566,0.2788284212902256,0.36898855092083166,0.1608744715361193,0.2178061310245836,-0.01808096901621801,0.018712221587390464,-0.22311352798336895,-0.17198745568082235
5.423728813559323,0.38011773128830334,0.5479664801419156,0.34845586816255786,0.4747376256280797,0.2801495564611642,0.3725944303541065,0.15446212490587163,0.2112889380171794,-0.03725746745945903,0.0008148826971269706,-0.2547787177458471,-0.19732533660240703
5.576271186440678,0.3921998427641006,0.5677182979567917,0.3541306191117419,0.4854603640508246,0.28022549012450126,0.3746269243614959,0.14669576936891668,0.2035705590977814,-0.058067119393762245,-0.018153320745677517,-0.2887559300572773,-0.2237724124170021
5.728813559322035,0.40222505104491457,0.5857353157155489,0.3589469913312695,0.49535466511316784,0.2796793156493285,0.37579992217677416,0.13772708463894812,0.19476495440218297,-0.08033690586827266,-0.03817821385773925,-0.32464639490519287,-0.25088985353044957
5.88135593220339,0.41083476967871174,0.6026941143722024,0.3629062785895953,0.5042018071336029,0.27862362101197524,0.3762004202424189,0.12791551326945594,0.18522129136269994,-0.1035235212446893,-0.05868912572230125,-0.3623701536623886,-0.27862382783040623
6.033898305084746,0.4182287255730537,0.6189049940475756,0.3663394206246361,0.512256795089661,0.2766204130999619,0.3756130274640876,0.11751342646334051,0.17517149006230978,-0.12816385424308802,-0.08019613581266803,-0.40195627948840446,-0.3070030102492021
6.186440677966102,0.425288059837411,0.6351802689216728,0.3689591107368108,0.5192048029489482,0.27470671139918995,0.3749349231888276,0.1064332913891929,0.16453582948213194,-0.1540087746592456,-0.10244656580334666,-0.443380083691008,-0.33597689909268375
6.338983050847458,0.43111644056075576,0.6507900898940938,0.37102726560564236,0.5253982282050141,0.2718624804640421,0.3731619820556308,0.09486400193856562,0.15350122073873454,-0.18116853763417692,-0.12549022440346244,-0.4868795109972987,-0.3657956524631116
6.491525423728814,0.4367535980037949,0.6660141165689318,0.3722409726996804,0.530659712586764,0.26908568227692786,0.3713349099740794,0.08191835533774869,0.14126522618065604,-0.2098118206934012,-0.14947215510396053,-0.5322852524309825,-0.396243281528757
6.6440677966101696,0.44084583872131927,0.6800088660676558,0.3736647076872914,0.5358836334063298,0.2654084496391986,0.36860268262211054,0.06829912844180622,0.12848821365229848,-0.2398430960766548,-0.17430700742453137,-0.5796448505812363,-0.4273666326562468
6.796610169491526,0.4438745526825727,0.6924751531230496,0.37445126560954,0.5403280153702761,0.26154984395739017,0.36561284610819705,0.05421889696293683,0.11542438499852214,-0.2712119463314607,-0.1999181386858819,-0.6289607140749703,-0.4591387965607865
6.9491525423728815,0.4456195485118104,0.7032885524683914,0.37555165389131173,0.5447363205038711,0.25698737582080017,0.3619213565362229,0.039117072885922595,0.10153393603590662,-0.3038781143369914,-0.2261967322819412,-0.6803440259119196,-0.49159229931241794
7.101694915254238,0.4469180700715597,0.7137657446051188,0.37611257502491996,0.5484848293676762,0.25192669346836455,0.3576993197552902,0.02304038449454854,0.08687097542733697,-0.3380299428164641,-0.25333181273251054,-0.7337542788577777,-0.524707389560485
7.254237288135593,0.4485995753654414,0.7244208880057065,0.3760111263061292,0.5515143399091303,0.24705841933918196,0.353634294985932,0.006399258938701853,0.07184140382069301,-0.37349695204209954,-0.2811474509459904,-0.7893391316895176,-0.5587022832595183
7.40677966101695,0.4485938824905361,0.7336911406025995,0.3760422578025499,0.5545690982250969,0.2415173598825932,0.34900349962045507,-0.011462677450140995,0.0559408668842257,-0.4104827204370624,-0.30971927171660035,-0.8473758902626665,-0.5938905910570544
7.559322033898305,0.4496096683270399,0.7437333688845646,0.37522313687133935,0.5569202649710379,0.23453385174577693,0.3432026705809708,-0.030414956304965577,0.03936425332210472,-0.44896759068683556,-0.33895992765362665,-0.9080629022854595,-0.6303568497317963
7.711864406779662,0.4489612494317994,0.7517304270154208,0.37399414351948207,0.5588730953955913,0.22766524184861442,0.3375659972663079,-0.05011512084806187,0.022365646560232808,-0.4889282788195327,-0.36890909426593343,-0.9711718353002926,-0.6679172887959326
7.864406779661017,0.44815463767394154,0.7593234018388748,0.3723206397780505,0.5604424513075421,0.21977906866120459,0.3311342001026655,-0.07093873860649887,0.004610717602270243,-0.5303545212148572,-0.3995100822002863,-1.0366218859673189,-0.7063292859160385
8.016949152542374,0.4475370154559857,0.7669927635188406,0.3703030143626086,0.5616745525150181,0.21132460242915216,0.324196551138126,-0.09260966629749166,-0.013657829402244795,-0.5733470994833505,-0.43090874320820094,-1.1042929653278677,-0.7455150940767525
8.16949152542373,0.4461000079699768,0.7739782421136348,0.3678475246247093,0.5625329836861664,0.2029744673427103,0.317422848048304,-0.11520207355218982,-0.03250913352802681,-0.6178865396102626,-0.4630260166554447,-1.1743431341755146,-0.7857686179255321
8.322033898305085,0.444268346480165,0.7806528335353013,0.3650863964037176,0.5631746946477042,0.19420795019522014,0.3103393509350755,-0.1384964561603716,-0.05170825705834641,-0.663985910790045,-0.4957785262945653,-1.2467828578847873,-0.8267300663990331
8.474576271186441,0.4430707521071456,0.7877794561241429,0.3620982439887142,0.5635501959226952,0.18457724727494143,0.3024673559714256,-0.16260321902770422,-0.0713725058678969,-0.7117552183893944,-0.5293325069766158,-1.3211843444435394,-0.867821380776254
8.627118644067796,0.44130503077964706,0.7948019565269956,0.35915041800787356,0.563910736331617,0.17458242986573064,0.2942991915446444,-0.1877204786404665,-0.09167011111735554,-0.7611354053452211,-0.563618937576052,-1.3975490003553217,-0.9089613672879988
8.779661016949152,0.438835150637944,0.8011448972034201,0.35566768110582353,0.5638305524760007,0.16390697495644388,0.28560334103850304,-0.21368837187560466,-0.11242736230125197,-0.8124305932666014,-0.598983774894441,-1.476150997968682,-0.9503608715912326
